Year,Monitored Area,Unit,Value
2018,Falmouth,(Health Index),1.8
2018,Montego Bay Marine Park,(Health Index),2.4
2018,Hopewell - Green Island (Hanover),(Health Index),2.3
2018,Negril Marine Park,(Health Index),2.2
2018,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),2.3
2018,Port Royal Protected Area,(Health Index),1.8
2018,Belmont,(Health Index),2.3
2018,Savanna-la-mar,(Health Index),n.a.
2018,Portland Bight Protected Area,(Health Index),2.2
2018,CRHI (overall mean),(Health Index),2.2
2019,Kingston,Number of Sites,9
2019,Portland,Number of Sites,5
2019,Trelawmy,Number of Sites,2
2019,Westmoreland,Number of Sites,2
2019,Negril (Hanover/Westmoreland),Number of Sites,14
2019,Clarendon,Number of Sites,2
2019,St Catherine,Number of Sites,5
2019,St James,Number of Sites,4
2020,Kingston,Number of Sites,9
2020,Portland,Number of Sites,5
2020,Trelawny,Number of Sites,2
2020,Westmoreland,Number of Sites,2
2020,Negril (Hanover/Westmoreland),Number of Sites,14
2020,Clarendon,Number of Sites,2
2020,St Catherine,Number of Sites,5
2020,St James,Number of Sites,4
2019,Kingston,Cumulative Mean Beach Width (m),50.8
2019,Portland,Cumulative Mean Beach Width (m),23.1
2019,Trelawmy,Cumulative Mean Beach Width (m),19.9
2019,Westmoreland,Cumulative Mean Beach Width (m),14.5
2019,Negril (Hanover/Westmoreland),Cumulative Mean Beach Width (m),36.1
2019,Clarendon,Cumulative Mean Beach Width (m),28.9
2019,St Catherine,Cumulative Mean Beach Width (m),37.6
2019,St James,Cumulative Mean Beach Width (m),27.2
2019,Average,Cumulative Mean Beach Width (m),29.8
2020,Kingston,Cumulative Mean Beach Width (m),49.4
2020,Portland,Cumulative Mean Beach Width (m),18.4
2020,Trelawmy,Cumulative Mean Beach Width (m),23.5
2020,Westmoreland,Cumulative Mean Beach Width (m),13.0
2020,Negril (Hanover/Westmoreland),Cumulative Mean Beach Width (m),31.4
2020,Clarendon,Cumulative Mean Beach Width (m),29.5
2020,St Catherine,Cumulative Mean Beach Width (m),39.8
2020,St James,Cumulative Mean Beach Width (m),24.9
2020,Average,Cumulative Mean Beach Width (m),28.7
2014,Blue Lagoon (Portland),(Health Index),2.3
2014,Monkey Island,(Health Index),0.0
2014,Oracabessa Bay Special Fishery Conservation Area,(Health Index),2.2
2014,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.7
2014,Ocho Rios Marine Park,(Health Index),2.2
2014,Discovery Bay,(Health Index),1.7
2014,Falmouth,(Health Index),2.3
2014,Montego Bay Marine Park,(Health Index),2.3
2014,Hopewell - Green Island (Hanover),(Health Index),2.3
2014,Negril Marine Park,(Health Index),2.2
2014,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),1.8
2014,Port Royal Protected Area,(Health Index),1.3
2014,Monkey Island,(Health Index),0.0
2014,Savanna-la-mar,(Health Index),0.0
2014,Portland Bight Protected Area,(Health Index),0.0
2014,CRHI (overall mean),(Health Index),2.1
2015,Blue Lagoon (Portland),(Health Index),2.3
2015,Monkey Island,(Health Index),0.0
2015,Oracabessa Bay Special Fishery Conservation Area,(Health Index),1.9
2015,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.5
2015,Ocho Rios Marine Park,(Health Index),2.4
2015,Discovery Bay,(Health Index),2.2
2015,Falmouth,(Health Index),2.1
2015,Montego Bay Marine Park,(Health Index),2.3
2015,Hopewell - Green Island (Hanover),(Health Index),3.0
2015,Negril Marine Park,(Health Index),2.3
2015,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),2.3
2015,Port Royal Protected Area,(Health Index),2.1
2015,Belmont,(Health Index),2.5
2015,Savanna-la-mar,(Health Index),2.3
2015,Portland Bight Protected Area,(Health Index),2.0
2015,CRHI (overall mean),(Health Index),2.2
2017,Blue Lagoon (Portland),(Health Index),0.0
2017,Blue Lagoon (Portland),(Health Index),0.0
2017,Oracabessa Bay Special Fishery Conservation Area,(Health Index),1.9
2017,Sandals Boscobel Special Fishery Conservation Area,(Health Index),3.1
2017,Ocho Rios Marine Park,(Health Index),2.4
2017,Discovery Bay,(Health Index),2.1
2017,Falmouth,(Health Index),2.4
2017,Montego Bay Marine Park,(Health Index),2.3
2017,Hopewell - Green Island (Hanover),(Health Index),3.8
2017,Negril Marine Park,(Health Index),2.2
2017,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),1.8
2017,Port Royal Protected Area,(Health Index),1.8
2017,Belmont,(Health Index),2.0
2017,Savanna-la-mar,(Health Index),1.5
2017,Portland Bight Protected Area,(Health Index),2.0
2017,CRHI (overall mean),(Health Index),2.3
2018,Blue Lagoon (Portland),(Health Index),0.0
2018,Monkey Island,(Health Index),2.5
2018,Oracabessa Bay Special Fishery Conservation Area,(Health Index),2.4
2018,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.8
2018,Ocho Rios Marine Park,(Health Index),2.3
2018,Discovery Bay,(Health Index),2.1
2018,Falmouth,(Health Index),1.8
2018,Montego Bay Marine Park,(Health Index),2.4
2018,Hopewell - Green Island (Hanover),(Health Index),2.3
2018,Negril Marine Park,(Health Index),2.2
2018,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),2.3
2018,Port Royal Protected Area,(Health Index),1.8
2018,Belmont,(Health Index),2.3
2018,Savanna-la-mar,(Health Index),0.0
2018,Portland Bight Protected Area,(Health Index),2.2
2018,CRHI (overall mean),(Health Index),2.2
2016,Kingston,Number of Sites,9.0
2016,Portland,Number of Sites,5.0
2016,Trelawmy,Number of Sites,2.0
2016,Westmoreland,Number of Sites,2.0
2016,Negril (Hanover/Westmoreland),Number of Sites,14.0
2016,Clarendon,Number of Sites,2.0
2016,St Catherine,Number of Sites,5.0
2016,St James,Number of Sites,4.0
2017,Kingston,Number of Sites,9.0
2017,Portland,Number of Sites,5.0
2017,Trelawny,Number of Sites,2.0
2017,Westmoreland,Number of Sites,2.0
2017,Negril (Hanover/Westmoreland),Number of Sites,14.0
2017,Clarendon,Number of Sites,2.0
2017,St Catherine,Number of Sites,5.0
2017,St James,Number of Sites,4.0
2018,Kingston,Number of Sites,9.0
2018,Portland,Number of Sites,5.0
2018,Trelawmy,Number of Sites,2.0
2018,Westmoreland,Number of Sites,2.0
2018,Negril (Hanover/Westmoreland),Number of Sites,14.0
2018,Clarendon,Number of Sites,2.0
2018,St Catherine,Number of Sites,5.0
2018,St James,Number of Sites,4.0
2016,Kingston,Cumulative Mean Beach Width (m),52.5
2016,Portland,Cumulative Mean Beach Width (m),25.3
2016,Trelawmy,Cumulative Mean Beach Width (m),18.3
2016,Westmoreland,Cumulative Mean Beach Width (m),15.3
2016,Negril (Hanover/Westmoreland),Cumulative Mean Beach Width (m),36.3
2016,Clarendon,Cumulative Mean Beach Width (m),27.2
2016,St Catherine,Cumulative Mean Beach Width (m),0.0
2016,St Catherine,Cumulative Mean Beach Width (m),0.0
2016,Average,Cumulative Mean Beach Width (m),29.1
2017,Kingston,Cumulative Mean Beach Width (m),48.4
2017,Portland,Cumulative Mean Beach Width (m),25.4
2017,Trelawmy,Cumulative Mean Beach Width (m),19.0
2017,Westmoreland,Cumulative Mean Beach Width (m),15.2
2017,Negril (Hanover/Westmoreland),Cumulative Mean Beach Width (m),32.6
2017,Clarendon,Cumulative Mean Beach Width (m),28.9
2017,St Catherine,Cumulative Mean Beach Width (m),41.2
2017,St Catherine,Cumulative Mean Beach Width (m),0.0
2017,Average,Cumulative Mean Beach Width (m),30.1
2018,Kingston,Cumulative Mean Beach Width (m),48.8
2018,Portland,Cumulative Mean Beach Width (m),23.3
2018,Trelawmy,Cumulative Mean Beach Width (m),21.0
2018,Westmoreland,Cumulative Mean Beach Width (m),14.2
2018,Negril (Hanover/Westmoreland),Cumulative Mean Beach Width (m),34.9
2018,Clarendon,Cumulative Mean Beach Width (m),25.0
2018,St Catherine,Cumulative Mean Beach Width (m),36.7
2018,St James,Cumulative Mean Beach Width (m),23.8
2018,Average,Cumulative Mean Beach Width (m),29.1
