Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2018,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,204
2018,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,444
2018,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,702
2018,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,674
2018,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1376
2018,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,273
2018,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,223
2018,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,496
2018,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,195
2018,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,182
2018,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,377
2018,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,194
2018,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,216
2018,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,410
2018,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,294
2018,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,309
2018,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,603
2018,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,378
2018,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,404
2018,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,782
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,828
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,833
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,1661
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,5609
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,5905
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,11514
2018,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,434
2018,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,285
2018,Outdoor Persons Registered on Poor Relief Programme,Portland,,per 100.000 population,917
2018,Outdoor Persons Registered on Poor Relief Programme,,per 100.000 population,St Mary,456
2018,Outdoor Persons Registered on Poor Relief Programme,,per 100.000 population,St Ann,519
2018,Outdoor Persons Registered on Poor Relief Programme,Trelawny,,per 100.000 population,584
2018,Outdoor Persons Registered on Poor Relief Programme,St James,,per 100.000 population,741
2018,Outdoor Persons Registered on Poor Relief Programme,Hanover,,per 100.000 population,706
2018,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,,per 100.000 population,259
2018,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,,per 100.000 population,270
2018,Outdoor Persons Registered on Poor Relief Programme,Manchester,,per 100.000 population,314
2018,Outdoor Persons Registered on Poor Relief Programme,Clarendon,,per 100.000 population,316
2018,Outdoor Persons Registered on Poor Relief Programme,St Catherine,,per 100.000 population,319
2018,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,422
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,250
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,204
2017,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,454
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,40
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,25
2017,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,65
2017,Indoor Persons Registered on Poor Relief Programme,Portland,Male,Number,34
2017,Indoor Persons Registered on Poor Relief Programme,Portland. Female,Number,19
2017,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,53
2017,Indoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,63
2017,Indoor Persons Registered on Poor Relief Programme,St Mary Female,Number,35
2017,Indoor Persons Registered on Poor Relief Programme,St Mary Total,Number,98
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,63
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,48
2017,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,111
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,29
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,23
2017,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,52
2017,Indoor Persons Registered on Poor Relief Programme,St James,Male,Number,43
2017,Indoor Persons Registered on Poor Relief Programme,St James,Female,Number,11
2017,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,54
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,31
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,22
2017,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,53
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,42
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,27
2017,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,69
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,28
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,25
2017,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,53
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,45
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,40
2017,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,85
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,74
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,51
2017,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,125
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,87
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,46
2017,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,133
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,829
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,579
2017,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1405
